,Year,Horsepower-min,Horsepower-max,Horsepower-mean,Horsepower-std,Horsepower-count
0,1970-01-01,46.0,225.0,148.85714285714286,49.63048331368112,35
1,1971-01-01,48.0,180.0,104.92857142857143,39.455486940797606,28
2,1972-01-01,54.0,208.0,120.17857142857143,41.12136830428835,28
3,1973-01-01,46.0,230.0,130.475,46.412303574342474,40
4,1974-01-01,52.0,150.0,94.23076923076923,29.686775092364197,26
5,1975-01-01,53.0,170.0,101.06666666666666,26.5770621003349,30
6,1976-01-01,52.0,180.0,101.11764705882354,32.430592278094785,34
7,1977-01-01,58.0,190.0,105.07142857142857,36.0954789119579,28
8,1978-01-01,48.0,165.0,99.69444444444444,28.43621377694742,36
9,1979-01-01,65.0,155.0,101.20689655172414,28.455955076404393,29
10,1980-01-01,48.0,132.0,77.48148148148148,18.173036599843716,27
11,1982-01-01,52.0,120.0,81.7457627118644,15.970439525334886,59
